complaint_text,assigned_role
urgent drinking water issue pls check,Health & Hygiene Secretary
Wifi is not working in ground floor,Technical Affairs Secretary
Even for the first floor Also,Technical Affairs Secretary
Anyone facing lan issues?,Technical Affairs Secretary
even the third floor lan is down,Technical Affairs Secretary
2nd floor too,Technical Affairs Secretary
It is basically fluctuating sometimes,Technical Affairs Secretary
No for some rooms its not working,Technical Affairs Secretary
Like netaccess site is not opening,Technical Affairs Secretary
plz resolve the LAN issue asap its causing a lot of trouble,Technical Affairs Secretary
till when wifi will come back?,Technical Affairs Secretary
Any idea why power is taking too long to restore?,General Secretary
mine's still not working ....,Technical Affairs Secretary
Its gone again,Technical Affairs Secretary
This time I think it's everywhere iitmwifi isn't working in ESB,Technical Affairs Secretary
In the LAN up?,Technical Affairs Secretary
Lan is not working now also plz fix it,Technical Affairs Secretary
any update on when can we connect our WiFi,Technical Affairs Secretary
Bro this isn’t an option now how do you expect us to connect our phones and all to the network,Technical Affairs Secretary
Better suggest them to install iitmwifi in the entire hostel,Technical Affairs Secretary
I don't understand how it wasn't a problem all these days and suddenly this sem the network is giving up,Technical Affairs Secretary
tell me one thing like when I use WiFi it’s working well with laptop but for phone it doesn’t work,Technical Affairs Secretary
I had tried contacting CC network and they blatantly denied to help,Technical Affairs Secretary
Every time I plug in my laptop to charge the fuse in my room blows.,General Secretary
Does anyone know why this might be happening?,General Secretary
Same happened in my room but with 50/50 chance,General Secretary
Only if I turn the switch on not if I plug the charger into my laptop.,General Secretary
Degraded MCBs? Not sure though.,General Secretary
please fix the pull up bar in the gym room.,Sports Secretary
The screws have almost come out.,Sports Secretary
also bring some new equpments in the gym revamp it,Sports Secretary
you did nothing for the gym,Sports Secretary
atleast clean GYM room,Sports Secretary
He also promised ACs in gym,Sports Secretary
till now LAN is not fixed.. Ground floor (146),Technical Affairs Secretary
I think it'll be nice if a technician cd come to the ground floor wings sometime in the evening,Technical Affairs Secretary
Many people have been facing problems with fluctuating lan for quite some time now,Technical Affairs Secretary
Till now no help has been received even after filling the all the gforms and excel sheets,Technical Affairs Secretary
Extension wing ground floor pe danda pda h,General Secretary
please don't use the RR02 washing machine since it causes electrical shock,Health & Hygiene Secretary
some things in first aid kit are not there security guard told me to inform u,Health & Hygiene Secretary
Avoid using water dispenser 1 (near the vending) as it is out of service right now,Health & Hygiene Secretary
when is the water dispenser on 2nd floor gonna get repaired,Health & Hygiene Secretary
Is there power in Library?,General Secretary
Any idea till when will power be gone?,General Secretary
Is power back in alak?,General Secretary
When can we expect the lan to be good?,Technical Affairs Secretary
Im pretty sure its insti wide problem,Technical Affairs Secretary
Can u mail whoever is incharge,Technical Affairs Secretary
RR 16 as well,Health & Hygiene Secretary
Is there a coffee machine in our hostel?,Health & Hygiene Secretary
The pull up bar is still not fixed.,Sports Secretary
urinal is blocked in RR 19 pls look into it,Health & Hygiene Secretary
Non-stop water flow since a week near the left of alakananda,Health & Hygiene Secretary
Water leakage near RR16,Health & Hygiene Secretary
Is LAN working for you?,Technical Affairs Secretary
Lan is not working on the ground floor please try to fix it,Technical Affairs Secretary
the lan is not working since afternoon. Please resolve it as soon as possible.,Technical Affairs Secretary
plz try to fix the lan bro.. It is not working.. Thanks in advance,Technical Affairs Secretary
its not just our hostels problem ig to fix u need to send mail that the lan has been significantly slow this semester,Technical Affairs Secretary
im not even able to login into chat gpt,Technical Affairs Secretary
plz just do this asap and tell them its been like this the whole semester,Technical Affairs Secretary
and i dont think its related to whatever panels we r about to change,Technical Affairs Secretary
For the past 3-4 weeks the Lan was slow now it's completely dead .,Technical Affairs Secretary
Please revive it ( I mean please look into this ),Technical Affairs Secretary
I complained about bad internet speeds and they said they can only be improved once they install a new switch,Technical Affairs Secretary
Why is this being delayed?,Technical Affairs Secretary
why isn’t the issue being resolved you said a long time ago that it will be resolved,Technical Affairs Secretary
The ping is high as well,Technical Affairs Secretary
3000ms,Technical Affairs Secretary
yupp and it's been like this from the start of this semester,Technical Affairs Secretary
Someone has taken my pan from the kitchen. Kindly request to return the same.,Health & Hygiene Secretary
the water purifier near room 317 isn’t working,Health & Hygiene Secretary
When is lan gonna be fixed bruh,Technical Affairs Secretary
Especially since tests are gonna start in 2 weeks,Technical Affairs Secretary
cc.iitm.ac.in mentioned in the mail to use instead of netaccess.... is this working for you guys?,Technical Affairs Secretary
yet it isn’t working,Technical Affairs Secretary
When will vending machine will be fixed,Health & Hygiene Secretary
Please pick up your clothes from RR 7,Health & Hygiene Secretary
please remove the clothes from rr19,Health & Hygiene Secretary
lan is not working,Technical Affairs Secretary
